test_lect,test_mate,test_soc,test_nat,privateHS,wage,male,momschooling2,momschooling3,momschooling_miss,dadschooling2,dadschooling3,dadschooling_miss,broken_home1,broken_home_miss,incomehh2,incomehh3,incomehh_miss,north,center,share_private,avg_price
.6023525,.2413053,1.496433,1.040459,0,5.5545598,0,1,0,0,0,1,0,0,0,1,0,0,0,0,.6,.211627
.2980541,.6175103,.0108966,-.6955768,1,9.5437212,0,1,0,0,0,0,0,0,0,0,1,0,0,1,.8333333,.16892856
.6019529,-.0131627,1.058629,1.403908,0,7.8162287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.5757576,.19301433
.0547345,-.2118596,.1480357,.6802095,1,9.2312165,0,1,0,0,1,0,0,0,0,0,1,0,0,1,.8,.18182649
-1.489753,-2.054304,-1.527216,-2.150774,1,9.565748,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.8571429,.21692954
.2538683,.706864,.811139,.7076138,1,8.257147,1,0,0,0,0,1,0,0,0,0,1,0,0,0,.7142857,.08627617
.303452,-.5414888,-.5010746,-.0982958,0,8.6496257,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.6666667,.03791952
-.7591956,-.4077581,-.8575154,-.2569175,1,6.4952145,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.5,0
.9492375,1.377916,1.321711,.6088003,1,9.9702301,1,0,1,0,1,0,0,0,0,1,0,0,0,1,.5757576,.19301433
1.340308,-.6880125,-1.783102,.1353358,0,8.1465602,1,0,0,0,1,0,0,1,0,1,0,0,0,1,.6666667,.19577105
-.1859858,-.725993,-1.551205,-.7751879,1,8.463388,1,0,0,0,0,0,0,0,1,0,0,1,0,0,.8,0
.4364078,1.392708,.5084746,-.9294087,1,3.4032167,1,1,0,0,1,0,0,0,1,0,0,1,0,1,.5714286,.06701158
-.9745239,.4627907,.7139827,-.186908,0,8.5121286,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,.14979318
.2656643,-1.110394,.132442,-.1395013,1,7.2645368,1,0,0,0,1,0,0,1,0,0,0,0,0,1,.5,.12471836
1.149571,1.052684,.1944145,1.200081,1,8.4385839,0,0,0,0,0,0,0,0,0,1,0,0,0,1,.6923077,.10655018
-1.551333,-.563877,-.9342811,-.0622911,0,6.4930557,1,0,0,0,0,0,0,1,0,0,0,0,0,1,.6666667,.03791952
-1.058496,-1.528577,.4283102,-.4719467,1,8.5516216,0,1,0,0,0,0,0,0,0,0,1,0,1,0,.6111111,.15668336
-.0862188,-.6894119,-.9136903,-.8994046,1,8.8975112,0,0,0,0,1,0,0,1,0,0,1,0,0,1,.6666667,.03791952
.9708307,.355646,1.388881,1.432312,1,9.1005584,1,0,1,0,0,1,0,0,0,1,0,0,0,1,.5,.04958201
-2.240904,.3454511,-.3399467,.4827828,0,8.5330175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.12618741
.0431383,-.0631367,1.425265,1.351701,1,8.403618,1,1,0,0,1,0,0,0,0,0,1,0,0,1,.7368421,.08477957
.2254781,.2011259,-.1058511,-.0706922,1,6.9058925,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.6666667,.03791952
.8182812,.4639901,.7647596,.7986259,1,8.2072723,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.8421053,.1972524
1.201954,.9349458,.9896591,.8304301,0,5.8911791,1,1,0,0,0,0,0,1,0,0,1,0,0,1,.7619048,.16574368
1.415483,1.573014,2.252495,2.782495,0,8.1888319,1,1,0,0,1,0,0,0,0,0,1,0,0,0,.5,0
-.1194078,-.2548372,.4347075,-.672374,0,8.4936781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.5,0
-1.175457,-.311608,-1.27133,.1551383,1,9.1412729,1,0,0,0,1,0,0,1,0,0,1,0,0,1,.8,.18182649
-.0784214,.4719858,-.6781955,.0619259,1,7.4371796,0,0,1,0,0,1,0,0,1,0,0,1,0,1,.7,.12804948
.8814604,.9017629,1.763713,.8232294,0,6.9471942,0,1,0,0,1,0,0,0,0,0,1,0,0,1,.7391304,.20514061
-1.128073,-.9506763,.2427931,-.3515302,1,8.8888246,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.5,.08019912
.1299098,.3904278,-1.783702,.2121461,1,8.6442874,1,0,1,0,0,1,0,0,0,0,0,0,1,0,.6111111,.15668336
1.043407,-.3118078,-.4918786,-.3249266,1,6.279202,0,1,0,0,1,0,0,0,0,0,1,0,1,0,.4666667,.05699361
-.1673918,.2273129,.8109389,-.0898947,1,8.8776787,1,0,0,1,0,0,1,0,1,0,0,1,0,1,.8,.15633682
-.2923503,.3616426,-.0292853,-.3811342,1,8.4154644,1,0,0,0,0,0,0,0,0,1,0,0,0,1,.8,.18182649
.0631317,.0158223,1.1216,-.363532,1,5.435904,0,0,0,1,0,0,1,0,1,0,0,1,0,1,.6666667,.21764056
.4500032,-.0199591,.6458131,-.3057241,1,8.0834574,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,.04056966
.1417058,.9277492,.748767,1.034058,0,7.7985312,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.25,.1438726
.1656975,-.0451462,.4207135,.2937576,1,4.6092228,0,1,0,0,0,1,0,0,0,0,1,0,0,1,.4285714,.1284174
.5461712,1.576013,1.330707,.852833,0,5.9050337,1,0,0,0,1,0,0,0,0,1,0,0,0,1,.625,.08451056
-.2035797,.3140678,-1.29552,-.4871486,0,7.1000215,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.7391304,.21390388
